DATE,ALVO_FECHOU_GAP_30MIN,GAP_NA_FAIXA_IDEAL,DIVERGENCIA_ABERTURA,GAP_ALTA,GAP_PORCENTAGEM_norm,DIAS_DESDE_ULTIMO_GAP_norm,VOLATILIDADE_ANTERIOR_norm,FORCA_ABERTURA_10MIN_norm,TEND_Aumentando,TEND_Diminuindo,TEND_Estável
2021-12-14,0,1,0,1,0.4712,0.0714,0.395,0.74,True,False,False
2021-12-15,0,0,1,1,0.6333,0.0714,0.5348,0.2419,True,False,False
2021-12-16,0,0,0,1,0.6317,0.0714,0.3737,0.6242,False,True,False
2021-12-17,0,0,0,0,0.4026,0.0714,0.2542,0.461,False,True,False
2021-12-20,0,0,0,0,0.2982,0.0714,0.27,0.4069,False,False,True
2021-12-21,0,0,1,1,0.5516,0.0714,0.3222,0.4333,True,False,False
2021-12-22,1,1,1,0,0.4335,0.0714,0.1741,0.6267,False,True,False
2021-12-23,1,0,1,1,0.4899,0.0714,0.2756,0.4541,True,False,False
2021-12-27,0,1,0,1,0.4613,0.1429,0.2162,0.7393,False,True,False
2021-12-28,1,1,1,1,0.4681,0.0714,0.1779,0.4647,False,True,False
2021-12-29,1,0,1,1,0.4822,0.0714,0.2789,0.4028,True,False,False
2021-12-30,0,0,1,1,0.512,0.0714,0.2991,0.5309,False,False,True
2022-01-03,1,1,0,1,0.4697,0.1429,0.2398,0.5789,False,True,False
2022-01-04,1,0,1,1,0.4919,0.0714,0.5593,0.2627,True,False,False
2022-01-05,0,0,0,0,0.4195,0.0714,0.3269,0.4271,False,True,False
2022-01-06,1,1,1,1,0.473,0.0714,0.4759,0.4058,True,False,False
2022-01-07,1,0,1,1,0.4895,0.0714,0.258,0.3012,False,True,False
2022-01-10,0,0,0,0,0.3789,0.0714,0.3077,0.5028,True,False,False
2022-01-11,0,1,0,1,0.4663,0.0714,0.3328,0.5526,True,False,False
2022-01-12,0,1,0,1,0.464,0.0714,0.3787,0.7803,True,False,False
2022-01-13,0,0,1,0,0.3934,0.0714,0.4177,0.5871,True,False,False
2022-01-14,0,0,1,0,0.3732,0.0714,0.2659,0.6379,False,True,False
2022-01-17,0,0,1,0,0.4155,0.0714,0.369,0.5602,True,False,False
2022-01-18,0,0,1,0,0.4129,0.0714,0.1598,0.6107,False,True,False
2022-01-19,0,0,0,1,0.5165,0.0714,0.263,0.636,True,False,False
2022-01-20,1,1,0,1,0.4508,0.0714,0.2212,0.7422,False,True,False
2022-01-21,0,0,0,0,0.3594,0.0714,0.325,0.4768,True,False,False
2022-01-24,0,0,0,0,0.4224,0.0714,0.289,0.4794,False,True,False
2022-01-25,1,0,0,0,0.4181,0.0714,0.4185,0.5285,True,False,False
2022-01-26,0,0,0,1,0.5801,0.0714,0.5781,0.8128,True,False,False
2022-01-27,0,0,0,1,0.4869,0.0714,0.2618,0.5845,False,True,False
2022-01-28,1,1,1,0,0.4283,0.0714,0.2596,0.5821,False,False,True
2022-01-31,1,1,0,0,0.447,0.0714,0.2918,0.244,True,False,False
2022-02-01,1,0,1,0,0.4209,0.0714,0.225,0.7182,False,True,False
2022-02-02,1,1,0,1,0.4596,0.0714,0.2348,0.5817,False,False,True
2022-02-03,1,1,1,0,0.4344,0.0714,0.3442,0.7235,True,False,False
2022-02-04,1,1,1,1,0.4517,0.0714,0.2241,0.4001,False,True,False
2022-02-07,1,1,1,0,0.4292,0.0714,0.361,0.643,True,False,False
2022-02-08,0,0,0,0,0.3889,0.0714,0.1806,0.3567,False,True,False
2022-02-09,1,1,0,1,0.4569,0.0714,0.2334,0.658,True,False,False
2022-02-10,0,0,0,1,0.4841,0.0714,0.273,0.68,True,False,False
2022-02-11,0,0,0,1,0.5098,0.0714,0.3184,0.6163,True,False,False
2022-02-14,0,0,0,1,0.4815,0.0714,0.3317,0.6738,False,False,True
